index,words
1,python
2,hello
3,bye
4,sun
5,exclamation
6,laptop
7,vacation
8,smartphone
9,apple
10,iphone
11,macbook
12,cosmos
13,blackhole
14,supernova
15,london
16,germany
17,berlin
18,california
19,java
20,cloud
21,machine
22,learning
23,tesla
24,tensorflow
25,pytorch
26,google
27,facebook
28,amazon
29,microsoft
30,water
31,fire
32,soil
33,forest
34,mood
35,love
36,relation
37,database
38,travel
39,aeroplane
40,hell
41,heaven
42,eggs
43,bread
44,munich
45,paris
46,italy
47,rome
48,netherland
49,amsterdam
50,sydney
51,seattle
52,sweden
53,stockholm
54,finland
55,helsinki
56,norway
57,oslo
58,boy
59,girl
60,monkey
61,animal
62,elephant
63,lion
64,supersonic
65,humble
66,twitter
67,kind
68,generous
69,humility
70,wealth
71,habits
72,consistency
73,power
74,knowledge
75,selena
76,gomez
77,jeans
78,baby
79,moon
80,new
81,cyberpunk
82,you
83,know
84,that
85,tingly
86,feeling
87,get
88,on
89,the
90,back
91,of
92,your
93,neck
94,sometimes
95,ruby
96,just
97,got
98,when
99,talking
100,with
101,her
102,it
103,went
104,through
105,such
106,rapid
107,contortions
108,little
109,bear
110,was
111,forced
112,to
113,change
114,his
115,hold
116,so
117,many
118,times
119,he
120,became
121,confused
122,in
123,darkness
124,and
125,could
126,not
127,for
128,life
129,him
130,tell
131,whether
132,held
133,sheep
134,right
135,side
136,up
137,or
138,upside
139,down
140,but
141,point
142,decided
143,javascript
144,moment
145,later
146,by
147,itself
148,who
149,sudden
150,twist
151,jabbed
152,its
153,horns
154,hard
155,into
156,lowest
157,ribs
158,gave
159,grunt
160,anger
161,disgust
162,sitting
163,away
164,from
165,everyone
166,had
167,done
168,harm
169,past
170,quietly
171,listened
172,those
173,roamed
174,felt
175,at
176,peace
177,hoping
178,would
179,last
180,knowing
181,reprieve
182,soon
183,come
184,an
185,end
186,closed
187,eyes
188,beating
189,face
190,smiled
191,first
192,time
193,as
194,long
195,remember
196,there
197,have
198,embraced
199,coming
200,youth
201,sought
202,adventure
203,unknown
204,been
205,years
206,ago
207,wished
208,go
209,learn
210,find
211,excitement
212,came
213,useless
214,curiosity
215,left
216,where
217,loathe
218,anything
219,put
220,out
221,comfort
222,zone
223,she
224,nervously
225,peered
226,over
227,edge
228,understood
229,mind
230,view
231,supposed
232,be
233,beautiful
234,all
235,fear
236,always
237,something
238,about
239,heights
240,disturbed
241,now
242,feel
243,full
244,force
245,this
246,unease
247,reluctantly
248,crept
249,closer
250,encouragement
251,friends
252,continued
253,build
254,sat
255,darkened
256,room
257,waiting
258,standoff
259,make
260,repent
261,greg
262,situation
263,michael
264,terribly
265,uncomfortable
266,simply
267,no
268,idea
269,what
270,even
271,though
272,prevent
273,happening
274,opted
275,let
276,happen
277,quite
278,ironic
279,really
280,said
281,never
282,wish
283,upon
284,anyone
285,million
286,yet
287,here
288,knowingly
289,letting
290,one
291,best
292,rationalized
293,ultimately
294,better
295,person
296,matter
297,how
298,should
299,experience
300,racism
301,least
302,once
303,their
304,lifetime
305,chair
306,corner
307,watching
308,weeks
309,locked
310,nothing
311,food
312,drink
313,can
314,do
315,anyway
316,watched
317,birds
318,flew
319,window
320,bolted
321,shut
322,reach
323,if
324,wanted
325,too
326,hole
327,floor
328,thought
329,escape
330,three
331,stories
332,is
333,bit
334,far
335,reached
336,goal
337,exhausted
338,more
339,chilling
340,euphoria
341,reaching
342,only
343,five
344,work
345,red
346,glint
347,paint
348,sparkled
349,under
350,dreamed
351,owning
352,car
353,since
354,ten
355,dream
356,become
357,reality
358,less
359,than
360,year
361,spent
362,hours
363,caring
364,pampering
365,fondling
366,knew
367,well
368,exactly
369,why
370,taken
371,sludge
372,hammer
373,ither
374,eyebrows
375,were
376,shade
377,darker
378,hair
379,they
380,thick
381,almost
382,horizontal
383,emphasizing
384,depth
385,rather
386,handsome
387,captivating
388,reason
389,certain
390,frankness
391,expression
392,contradictory
393,subtle
394,play
395,features
396,manner
397,engaging
398,hand
399,sliding
400,arm
401,wiggled
402,fingers
403,touch
404,air
405,shifted
406,weight
407,body
408,try
409,inch
410,two
411,still
412,touched
413,airhe
414,walked
415,steps
416,train
417,station
418,hurry
419,secrets
420,briefcase
421,must
422,secured
423,quickly
424,possible
425,bounding
426,heard
427,behind
428,turned
429,panic
430,nobody
431,pair
432,old
433,worn
434,shoes
435,placed
436,neatly
437,them
438,without
439,seeing
440,seem
441,turn
442,way
443,deep
444,chill
445,filled
446,fact
447,difficult
448,date
449,appeared
450,seemed
451,place
452,removed
453,question
454,asked
455,again
456,while
457,ever
458,found
459,energy
460,actually
461,remained
462,sense
463,perfectly
464,normal
465,another
466,wondered
467,disclose
468,truth
469,risky
470,move
471,yes
472,things
473,lot
474,easier
475,stayed
476,same
477,page
478,might
479,fracture
480,group
481,leaving
482,everything
483,mess
484,telling
485,decide
486,which
487,hopes
488,dreams
489,dashed
490,day
491,expected
492,shock
493,warning
494,signs
495,ignored
496,favor
497,possibility
498,however
499,remote
500,grown
501,hope
502,undeniable
503,belief
504,destiny
505,until
506,hopes
507,crashing
508,downthey
509,argue
510,argument
511,seems
512,different
513,topic
514,may
515,circumstances
516,thing
517,both
518,neither
519,has
520,courage
521,strength
522,address
523,underlying
524,issue
525,continue
